Au travail à la cantine trois par trois j’en mange	Frence
llevó ante los tribunales a Gertrude Walton de ochenta y tres años	Spanish
así creo que queda muy claro lo que es	Spanish
Economically considered, the existence of mankind is conditioned by some sort of saving	English
The tree in its turn caused them to bear children	English
Gelini öpebilirsin	Turkish
Il y avait dans ce sentiment un certain orgueil inexplicable	Frence
Pas un ne manque	Frence
From the time when he was left in the loft-room, he vanished	English
Позволь познакомить тебя с моим добрым приятелем, Базаровым	Russian
Frene bas!	Turkish
Ji xwendinê dûr nekevin!	Kurdish Kurmanji
مرحبا مجددا	Arabic
Li min biborîne	Kurdish Kurmanji
Jag ska bara höra med min kollega lite snabbt	Swedish
سەرمان لێ مەشێوێنن	Kurdish Sorani
Рассуждение о монашеской жизни	Russian
Sedan alla intagit sina platser, börjar de se sig om efter fåglarna	Swedish
Ji ber ku zagonên berê, ne li gorî pîvanên demokrasiyê ne	Kurdish Kurmanji
Мы не можем закрывать глаза на столь угрожающее развитие ситуации	Russian
قەت ناگری	Kurdish Sorani
Det är vanligt att folkbibliotek och kommunala skolor hör till olika förvaltningar inom kommunen	Swedish
شێرکۆ بوو بە گۆرانیبێژێکی ناودار	Kurdish Sorani
Le travail est la loi ; qui le repousse ennui, l’aura supplice	Frence
Она не любит Вронского	Russian
Життя дороге	Ukrainian
Carinan mirov dema hişyar jî bin xewnan dibînin	Kurdish Kurmanji
وما عليك ألا يزكى	Arabic
Tanıştığıma memnun oldum	Turkish
On arrivait, on allait toucher	Frence
Ben kullanırım	Turkish
"Might have been made for us,"" said Hopkins approvingly"	English
Den var kall och riste, stötvis	Swedish
ئەو پارەیەت بەدەست گەیشت کە بۆم ناردیت؟	Kurdish Sorani
O aynen benim tasavvur ettiğim gibiydi	Turkish
no. no, venga	Spanish
Det har vi verkligen inte råd med	Swedish
ئەوان هەمیشە گلەیی لە کارەکانیان دەکەن	Kurdish Sorani
Doh şevê me bi hev re li televizyonê temaşe kir	Kurdish Kurmanji
اركض!	Arabic
Hiçbir şey yok	Turkish
چاوت بڕیە چاوەکانم و	Kurdish Sorani
Тепер про більш приємні речі, скажімо, стосовно річкового транспорту	Ukrainian
З дитинства ми засвоїли просту істину, що добре діло завжди повертається добром	Ukrainian
Но Левину неприятны были эти слова Дарьи Александровны	Russian
مرحبًا ، أردت أن أخبرك أن المشكلة قد حُلَّتْ	Arabic
Hoy vamos a la discoteca de enfrente	Spanish
She did him that great kindness of treating him almost with reverence	English
Det finns sex valideringssätt, däribland egen försäkran, försäkran genom avtal, samt tredje parts-validering	Swedish
A solar flare is due within the hour	English
Den isländska bibliotekslagen anger att skolbiblioteken ska vara informationscentrum för elever och lärare	Swedish
أنا العب كرة القدم الأن. وأنت, ماذا تفعل ؟	Arabic
Hûn bêhnijî ne	Kurdish Kurmanji
hemos roto, y si hay algo bueno para lo que sirva romper	Spanish
What do you say to this, Bucket?	English
Pas de ceinture au peignoir	Frence
Обійшлося, на щастя, без жертв	Ukrainian
Båten stod som vanligt uppdragen på slipen med en stege lutad mot relingen	Swedish
بەنیازم هەموو شتێک لەناو ببەم	Kurdish Sorani
